id; sepal.length ; sepal.width ; petal.length ; petal.width ; variety ;
43; 4.40 ;3.2;1.3;0.2;Setosa;
44; 5.00 ;3.5;1.6;0.6;Setosa;
45; 5.10 ;3.8;1.9;0.4;Setosa;
46; 4.80 ;3;1.4;0.3;Setosa;
47; 5.10 ;3.8;1.6;0.2;Setosa;
48; 4.60 ;3.2;1.4;0.2;Setosa;
49; 5.30 ;3.7;1.5;0.2;Setosa;
50; 5.00 ;3.3;1.4;0.2;Setosa;
51; 7.00 ;3.2;4.7;1.4;Versicolor;
52; 6.40 ;3.2;4.5;1.5;Versicolor;
53; 6.90 ;3.1;4.9;1.5;Versicolor;
54; 5.50 ;2.3;4;1.3;Versicolor;
55; 6.50 ;2.8;4.6;1.5;Versicolor;
56; 5.70 ;2.8;4.5;1.3;Versicolor;
57; 6.30 ;3.3;4.7;1.6;Versicolor;
58; 4.90 ;2.4;3.3;1;Versicolor;
59; 6.60 ;2.9;4.6;1.3;Versicolor;
60; 5.20 ;2.7;3.9;1.4;Versicolor;
61; 5.00 ;2;3.5;1;Versicolor;
62; 5.90 ;3;4.2;1.5;Versicolor;
63; 6.00 ;2.2;4;1;Versicolor;
64; 6.10 ;2.9;4.7;1.4;Versicolor;
65; 5.60 ;2.9;3.6;1.3;Versicolor;
66; 6.70 ;3.1;4.4;1.4;Versicolor;
67; 5.60 ;3;4.5;1.5;Versicolor;
68; 5.80 ;2.7;4.1;1;Versicolor;
69; 6.20 ;2.2;4.5;1.5;Versicolor;
70; 5.60 ;2.5;3.9;1.1;Versicolor;
71; 5.90 ;3.2;4.8;1.8;Versicolor;
72; 6.10 ;2.8;4;1.3;Versicolor;
73; 6.30 ;2.5;4.9;1.5;Versicolor;
74; 6.10 ;2.8;4.7;1.2;Versicolor;
75; 6.40 ;2.9;4.3;1.3;Versicolor;
76; 6.60 ;3;4.4;1.4;Versicolor;
77; 6.80 ;2.8;4.8;1.4;Versicolor;
78; 6.70 ;3;5;1.7;Versicolor;
79; 6.00 ;2.9;4.5;1.5;Versicolor;
80; 5.70 ;2.6;3.5;1;Versicolor;
81; 5.50 ;2.4;3.8;1.1;Versicolor;
82; 5.50 ;2.4;3.7;1;Versicolor;
83; 5.80 ;2.7;3.9;1.2;Versicolor;
84; 6.00 ;2.7;5.1;1.6;Versicolor;
85; 5.40 ;3;4.5;1.5;Versicolor;
86; 6.00 ;3.4;4.5;1.6;Versicolor;
87; 6.70 ;3.1;4.7;1.5;Versicolor;
88; 6.30 ;2.3;4.4;1.3;Versicolor;
89; 5.60 ;3;4.1;1.3;Versicolor;
90; 5.50 ;2.5;4;1.3;Versicolor;
91; 5.50 ;2.6;4.4;1.2;Versicolor;
92; 6.10 ;3;4.6;1.4;Versicolor;
93; 5.80 ;2.6;4;1.2;Versicolor;
94; 5.00 ;2.3;3.3;1;Versicolor;
95; 5.60 ;2.7;4.2;1.3;Versicolor;
96; 5.70 ;3;4.2;1.2;Versicolor;
97; 5.70 ;2.9;4.2;1.3;Versicolor;
98; 6.20 ;2.9;4.3;1.3;Versicolor;
99; 5.10 ;2.5;3;1.1;Versicolor;
100; 5.70 ;2.8;4.1;1.3;Versicolor;
101; 6.30 ;3.3;6;2.5;Virginica;
102; 5.80 ;2.7;5.1;1.9;Virginica;
103; 7.10 ;3;5.9;2.1;Virginica;
104; 6.30 ;2.9;5.6;1.8;Virginica;
105; 6.50 ;3;5.8;2.2;Virginica;
106; 7.60 ;3;6.6;2.1;Virginica;
107; 4.90 ;2.5;4.5;1.7;Virginica;
108; 7.30 ;2.9;6.3;1.8;Virginica;
109; 6.70 ;2.5;5.8;1.8;Virginica;
110; 7.20 ;3.6;6.1;2.5;Virginica;
111; 6.50 ;3.2;5.1;2;Virginica;
112; 6.40 ;2.7;5.3;1.9;Virginica;
113; 6.80 ;3;5.5;2.1;Virginica;
114; 5.70 ;2.5;5;2;Virginica;
115; 5.80 ;2.8;5.1;2.4;Virginica;
116; 6.40 ;3.2;5.3;2.3;Virginica;
117; 6.50 ;3;5.5;1.8;Virginica;
118; 7.70 ;3.8;6.7;2.2;Virginica;
119; 7.70 ;2.6;6.9;2.3;Virginica;
120; 6.00 ;2.2;5;1.5;Virginica;
121; 6.90 ;3.2;5.7;2.3;Virginica;
122; 5.60 ;2.8;4.9;2;Virginica;
123; 7.70 ;2.8;6.7;2;Virginica;
124; 6.30 ;2.7;4.9;1.8;Virginica;
125; 6.70 ;3.3;5.7;2.1;Virginica;
126; 7.20 ;3.2;6;1.8;Virginica;
127; 6.20 ;2.8;4.8;1.8;Virginica;
128; 6.10 ;3;4.9;1.8;Virginica;
129; 6.40 ;2.8;5.6;2.1;Virginica;
130; 7.20 ;3;5.8;1.6;Virginica;
131; 7.40 ;2.8;6.1;1.9;Virginica;
132; 7.90 ;3.8;6.4;2;Virginica;
133; 6.40 ;2.8;5.6;2.2;Virginica;
134; 6.30 ;2.8;5.1;1.5;Virginica;
135; 6.10 ;2.6;5.6;1.4;Virginica;
136; 7.70 ;3;6.1;2.3;Virginica;
137; 6.30 ;3.4;5.6;2.4;Virginica;
138; 6.40 ;3.1;5.5;1.8;Virginica;
139; 6.00 ;3;4.8;1.8;Virginica;
140; 6.90 ;3.1;5.4;2.1;Virginica;
141; 6.70 ;3.1;5.6;2.4;Virginica;
142; 6.90 ;3.1;5.1;2.3;Virginica;
143; 5.80 ;2.7;5.1;1.9;Virginica;
144; 6.80 ;3.2;5.9;2.3;Virginica;
145; 6.70 ;3.3;5.7;2.5;Virginica;
146; 6.70 ;3;5.2;2.3;Virginica;
147; 6.30 ;2.5;5;1.9;Virginica;
148; 6.50 ;3;5.2;2;Virginica;
149; 6.20 ;3.4;5.4;2.3;Virginica;
150; 5.90 ;3;5.1;1.8;Virginica;
